Sugars (Su),Weight of 300 Seeds (W3S),Seed Yield per Unit Area (SYUA),Number of Seeds per Pod (NSP),Protein Percentage (PPE),Protein Content (PCO),KMeans_Label
0.433,33.6,5567.4,1.86,33.2,0.82,0
0.334,34.4,2245.5,1.87,38.5,0.13,0
0.49,35.2,4326.7,2.04,33.6,0.15,0
0.163,52.3,6214.5,2.2,33.5,0.14,1
0.795,31.2,3897.8,1.88,39.6,0.6,0
0.265,44.4,3985.2,2.06,33.5,0.3,1
0.463,31.9,3029.3,1.6,37.3,0.48,0
0.531,32.6,6645.7,1.87,33.3,0.4,0
0.298,38.1,3104.6,1.8,31.1,0.18,0
0.323,37.5,4256.8,2.2,37.6,0.73,1
0.512,36.3,4998.7,1.84,39.1,0.42,0
0.597,33.3,4265.7,1.88,37.2,0.5,0
0.317,34.5,5205.8,2.6,38.1,0.32,1
0.553,32.2,4486.7,1.9,33.8,0.7,0
0.613,29.9,5803.1,2.6,39.1,0.3,1
0.629,37.3,4300.7,1.6,31.7,0.6,0
0.84,32.1,3211.1,2.2,35.3,0.4,0
0.165,53.9,6381.2,2.05,38.1,0.12,1
0.882,35.3,3227.7,2.08,34.4,0.6,0
0.861,37.1,3584.7,2.2,33.0,0.48,0
0.162,37.7,5128.4,2.6,37.6,0.48,1
0.445,35.4,4423.6,1.7,32.9,0.84,0
0.165,33.2,3185.4,1.82,36.2,0.32,0
0.645,33.9,3973.1,1.87,37.0,0.36,0
0.998,31.1,2432.3,1.8,31.7,0.83,0
0.331,33.4,4123.1,1.84,37.6,0.48,0
0.579,37.7,5187.7,2.2,36.9,0.6,1
0.502,33.6,4213.5,1.7,39.1,0.6,0
0.533,44.3,4396.8,1.85,38.4,1.16,0
0.182,31.8,3161.5,2.08,37.7,0.6,0
0.322,33.3,5123.6,1.86,35.4,0.4,0
0.644,35.4,3653.6,1.64,37.4,0.3,0
0.162,35.2,3123.8,2.1,33.2,0.33,0
0.656,34.5,4758.4,1.86,37.2,0.16,0
0.772,34.3,2877.5,1.86,39.9,0.6,0
0.61,28.9,5443.6,2.6,31.9,0.4,1
0.25,29.2,4687.4,1.9,38.7,0.42,0
0.331,39.7,4413.9,2.05,32.1,0.78,1
0.18,30.6,3112.2,2.1,37.3,0.5,0
0.832,37.6,3321.5,1.9,33.6,0.6,0
0.198,44.7,5355.9,2.2,38.3,0.3,1
0.523,38.1,5216.2,2.06,38.2,0.5,1
0.235,42.2,4013.4,2.2,38.1,0.36,1
0.161,51.5,6365.7,2.08,34.8,0.16,1
0.695,29.3,4636.8,2.2,38.5,0.3,0
0.989,30.3,2334.2,1.88,33.0,0.78,0
0.521,33.2,6775.6,1.88,37.6,0.6,1
0.46,32.2,4234.5,2.2,32.1,0.14,0
0.314,35.4,5103.9,2.4,37.6,0.42,1
0.344,33.2,4357.7,1.4,36.6,0.7,0
0.645,30.2,4549.4,1.84,33.8,0.34,0
0.463,36.1,5990.3,2.4,33.5,0.6,1
0.55,34.4,5495.6,1.9,36.2,0.6,0
0.989,35.3,3356.6,1.88,34.8,1.7,0
0.194,43.3,5457.4,1.86,39.6,0.36,1
0.563,35.5,6934.3,2.2,34.8,0.42,1
0.163,34.3,5453.4,2.2,35.3,0.23,1
1.1,29.6,2567.9,1.8,39.6,0.84,0
0.546,47.5,4679.9,1.84,39.6,1.15,1
0.294,33.4,3221.3,2.05,33.5,0.15,0
0.323,32.8,4211.5,1.85,34.7,0.48,0
0.169,26.4,2470.0,2.08,34.8,0.33,0
0.43,36.4,5740.7,2.6,37.4,0.6,1
0.513,33.7,4356.4,2.08,36.5,0.56,0
0.345,34.5,4254.6,1.9,34.6,0.44,0
0.244,42.2,7655.4,2.08,38.5,0.7,1
0.675,33.6,4001.0,2.2,38.2,0.18,0
0.232,41.3,4568.8,2.2,33.6,0.4,1
0.447,36.4,5112.9,2.08,37.6,0.5,1
0.612,31.9,4324.7,1.8,39.5,0.7,0
0.534,33.6,5454.4,1.84,35.3,0.44,0
1.102,36.3,3876.6,1.65,31.7,1.8,0
0.754,31.6,2578.4,2.08,37.7,0.4,0
0.512,34.7,3959.9,1.8,32.5,0.84,0
0.21,27.4,4235.5,2.1,39.9,0.6,0
0.775,32.2,3778.3,2.08,36.4,0.5,0
0.745,33.2,2775.4,2.2,37.6,0.5,0
0.657,37.7,3789.3,1.7,36.2,0.33,0
0.196,42.2,5660.2,2.08,39.6,0.4,1
0.445,36.3,5233.5,1.8,34.8,0.84,0
0.523,35.2,4358.8,2.2,36.5,0.58,0
0.163,27.3,2133.4,2.2,37.3,0.32,0
0.661,34.2,3987.4,1.85,36.9,0.14,0
0.161,36.6,3352.2,2.2,37.3,0.36,1
0.352,37.3,3251.1,1.6,33.4,0.6,0
0.466,28.8,3211.2,1.84,37.7,0.44,0
0.448,38.4,5372.6,2.2,34.3,0.6,1
0.559,30.2,5536.8,2.2,39.6,0.3,1
0.516,32.6,4536.6,2.08,38.0,0.6,0
0.544,36.7,5675.7,2.06,37.4,0.43,1
0.312,38.6,4356.3,1.85,36.9,0.78,0
0.579,36.8,5983.9,2.2,31.9,0.78,1
0.166,28.2,2208.3,2.1,34.8,0.31,0
0.48,33.5,4269.8,2.2,35.3,0.12,0
0.423,37.2,5214.5,1.86,33.6,0.7,0
0.554,35.3,5871.8,2.2,38.4,0.42,1
0.354,33.2,2127.5,1.7,33.5,0.14,0
0.242,40.4,7424.8,2.2,33.5,0.42,1
0.397,30.6,2389.3,1.65,33.8,0.12,0
0.248,41.4,7841.5,2.4,33.6,0.6,1
0.523,45.3,4189.8,2.05,38.0,1.12,1
0.754,33.1,3428.7,2.2,39.5,0.6,0
0.23,28.4,4197.5,1.8,36.6,0.6,0
0.663,31.2,4472.7,2.6,39.7,0.32,1
0.165,34.5,5643.7,2.6,33.6,0.36,1
1.115,37.2,3067.1,1.8,37.2,1.15,0
0.295,35.3,3112.2,2.1,32.3,0.17,0
0.45,32.2,3116.3,1.9,36.6,0.42,0
