Prod_Label_KMeans_k=2_sel,Biological Weight (BW),C_2,ChlorophyllA663,Chlorophyllb649,G_2,G_3,G_4,G_5,G_6,Leaf Area Index (LAI),Number of Pods (NP),Number of Seeds per Pod (NSP),Plant Height (PH),Protein Content (PCO),Protein Percentage (PPE),Relative Water Content in Leaves (RWCL),S_2,S_3,Seed Yield per Unit Area (SYUA),Sugars (Su),Weight of 300 Seeds (W3S)
0,111,False,1.4,3.1,False,False,False,True,False,0.08,130.3,1.86,50.5,0.82,33.2,0.732,False,False,5567.4,0.433,33.6
0,80,True,7.1,2.2,False,False,True,False,False,0.09,132.0,1.87,44.5,0.13,38.5,0.674,False,True,2245.5,0.334,34.4
0,83,True,1.8,1.3,False,False,False,False,True,0.07,150.0,2.04,52.2,0.15,33.6,0.677,False,False,4326.7,0.49,35.2
1,66,False,1.1,3.0,False,False,False,False,False,0.09,140.8,2.2,50.5,0.14,33.5,0.745,False,False,6214.5,0.163,52.3
0,73,False,7.5,2.1,False,False,False,False,True,0.1,175.6,1.88,49.2,0.6,39.6,0.725,True,False,3897.8,0.795,31.2
1,62,True,4.3,1.2,False,False,False,False,True,0.07,136.0,2.06,52.0,0.3,33.5,0.633,True,False,3985.2,0.265,44.4
0,115,False,1.1,2.1,False,False,False,False,True,0.1,147.3,1.6,44.2,0.48,37.3,0.762,False,False,3029.3,0.463,31.9
0,205,False,1.2,3.2,False,False,False,True,False,0.07,158.3,1.87,52.0,0.4,33.3,0.677,False,True,6645.7,0.531,32.6
0,68,True,7.2,1.2,False,False,True,False,False,0.06,155.0,1.8,49.3,0.18,31.1,0.672,True,False,3104.6,0.298,38.1
1,87,True,1.9,2.5,False,False,False,False,False,0.03,151.0,2.2,45.8,0.73,37.6,0.717,False,True,4256.8,0.323,37.5
0,225,False,1.9,3.1,True,False,False,False,False,0.08,137.7,1.84,50.0,0.42,39.1,0.739,False,False,4998.7,0.512,36.3
0,121,False,1.1,3.2,False,False,True,False,False,0.07,165.0,1.88,42.3,0.5,37.2,0.456,False,True,4265.7,0.597,33.3
1,127,True,10.0,2.6,False,True,False,False,False,0.05,129.0,2.6,50.2,0.32,38.1,0.629,False,True,5205.8,0.317,34.5
0,122,True,2.2,3.0,True,False,False,False,False,0.06,147.0,1.9,52.2,0.7,33.8,0.622,False,False,4486.7,0.553,32.2
1,102,False,9.2,2.1,False,False,False,False,False,0.06,159.0,2.6,54.3,0.3,39.1,0.71,False,True,5803.1,0.613,29.9
0,120,False,1.0,3.6,False,False,True,False,False,0.1,166.7,1.6,40.4,0.6,31.7,0.467,False,True,4300.7,0.629,37.3
0,71,True,1.1,3.0,False,False,False,True,False,0.07,141.2,2.2,50.3,0.4,35.3,0.639,True,False,3211.1,0.84,32.1
1,68,False,1.4,3.3,False,False,False,False,False,0.09,142.0,2.05,51.0,0.12,38.1,0.753,False,False,6381.2,0.165,53.9
0,66,True,1.7,3.0,False,False,False,False,False,0.04,136.2,2.08,51.3,0.6,34.4,0.662,True,False,3227.7,0.882,35.3
0,65,True,1.8,3.2,False,False,False,False,False,0.03,137.3,2.2,50.0,0.48,33.0,0.674,True,False,3584.7,0.861,37.1
1,129,False,1.7,3.1,True,False,False,False,False,0.09,158.0,2.6,52.6,0.48,37.6,0.692,False,True,5128.4,0.162,37.7
0,77,True,1.5,2.2,False,False,False,False,False,0.09,150.0,1.7,50.3,0.84,32.9,0.626,False,False,4423.6,0.445,35.4
0,88,True,8.5,2.3,True,False,False,False,False,0.1,145.0,1.82,55.3,0.32,36.2,0.601,False,True,3185.4,0.165,33.2
0,81,False,6.7,1.2,False,False,False,False,False,0.02,162.6,1.87,49.2,0.36,37.0,0.71,True,False,3973.1,0.645,33.9
0,72,True,1.7,3.2,False,True,False,False,False,0.09,130.0,1.8,51.3,0.83,31.7,0.654,False,False,2432.3,0.998,31.1
0,222,False,4.8,1.5,False,False,True,False,False,0.06,163.5,1.84,49.0,0.48,37.6,0.625,True,False,4123.1,0.331,33.4
1,226,False,1.8,3.2,True,False,False,False,False,0.06,138.0,2.2,49.2,0.6,36.9,0.719,False,False,5187.7,0.579,37.7
0,123,True,2.1,3.1,True,False,False,False,False,0.09,149.0,1.7,51.2,0.6,39.1,0.663,False,False,4213.5,0.502,33.6
1,94,False,5.8,1.2,False,False,True,False,False,0.08,160.0,1.85,45.7,1.16,38.4,0.667,False,False,4396.8,0.533,44.3
0,70,True,1.2,3.2,False,False,False,True,False,0.05,142.0,2.08,52.7,0.6,37.7,0.618,True,False,3161.5,0.182,31.8
0,124,True,9.9,2.1,False,True,False,False,False,0.04,127.0,1.86,50.0,0.4,35.4,0.612,False,True,5123.6,0.322,33.3
0,115,False,6.0,1.5,False,False,False,False,False,0.05,80.0,1.64,52.1,0.3,37.4,0.729,True,False,3653.6,0.644,35.4
0,85,True,8.0,2.2,True,False,False,False,False,0.09,146.0,2.1,55.3,0.33,33.2,0.598,False,True,3123.8,0.162,35.2
0,93,True,1.2,1.1,True,False,False,False,False,0.06,127.0,1.86,47.3,0.16,37.2,0.698,True,False,4758.4,0.656,34.5
0,137,False,7.4,1.2,False,True,False,False,False,0.09,132.7,1.86,49.0,0.6,39.9,0.72,False,False,2877.5,0.772,34.3
0,100,False,8.9,2.2,False,False,False,False,False,0.09,161.0,2.6,53.4,0.4,31.9,0.721,False,True,5443.6,0.61,28.9
0,98,False,3.8,2.2,False,False,False,False,True,0.04,157.7,1.9,50.3,0.42,38.7,0.765,False,True,4687.4,0.25,29.2
1,84,True,1.0,2.9,False,False,False,False,False,0.03,150.5,2.05,47.4,0.78,32.1,0.739,False,True,4413.9,0.331,39.7
0,69,True,1.3,3.3,False,False,False,True,False,0.06,141.0,2.1,50.6,0.5,37.3,0.623,True,False,3112.2,0.18,30.6
0,63,True,1.4,3.1,False,False,False,False,False,0.05,135.9,1.9,52.0,0.6,33.6,0.611,True,False,3321.5,0.832,37.6
1,134,True,1.0,3.6,False,False,False,True,False,0.04,128.6,2.2,49.7,0.3,38.3,0.825,False,True,5355.9,0.198,44.7
1,223,False,1.9,3.3,True,False,False,False,False,0.07,136.0,2.06,52.4,0.5,38.2,0.713,False,False,5216.2,0.523,38.1
1,60,True,4.0,1.9,False,False,False,False,True,0.05,134.0,2.2,51.4,0.36,38.1,0.615,True,False,4013.4,0.235,42.2
1,67,False,1.2,3.1,False,False,False,False,False,0.06,141.0,2.08,49.5,0.16,34.8,0.688,False,False,6365.7,0.161,51.5
0,213,False,9.1,1.2,False,True,False,False,False,0.06,156.3,2.2,42.0,0.3,38.5,0.85,True,False,4636.8,0.695,29.3
0,73,True,1.6,3.1,False,True,False,False,False,0.07,129.0,1.88,53.2,0.78,33.0,0.673,False,False,2334.2,0.989,30.3
1,204,False,1.5,3.0,False,False,False,True,False,0.08,158.0,1.88,52.1,0.6,37.6,0.669,False,True,6775.6,0.521,33.2
0,83,True,1.4,1.2,False,False,False,False,True,0.07,148.0,2.2,49.2,0.14,32.1,0.626,False,False,4234.5,0.46,32.2
1,126,True,10.2,2.2,False,True,False,False,False,0.03,127.5,2.4,49.0,0.42,37.6,0.621,False,True,5103.9,0.314,35.4
0,78,True,1.4,2.1,False,False,False,False,False,0.09,152.0,1.4,48.3,0.7,36.6,0.722,False,False,4357.7,0.344,33.2
0,211,False,8.9,1.6,False,True,False,False,False,0.09,155.3,1.84,43.0,0.34,33.8,0.834,True,False,4549.4,0.645,30.2
1,138,True,1.7,2.8,False,False,True,False,False,0.09,143.0,2.4,52.8,0.6,33.5,0.706,False,False,5990.3,0.463,36.1
0,181,True,4.1,1.2,False,True,False,False,False,0.09,154.0,1.9,51.2,0.6,36.2,0.447,False,False,5495.6,0.55,34.4
0,150,True,5.2,1.2,False,False,False,True,False,0.09,147.8,1.88,50.4,1.7,34.8,0.662,False,False,3356.6,0.989,35.3
1,132,True,1.3,3.1,False,False,False,True,False,0.05,129.0,1.86,52.2,0.36,39.6,0.811,False,True,5457.4,0.194,43.3
1,207,False,1.3,3.1,False,False,False,True,False,0.05,159.0,2.2,50.0,0.42,34.8,0.685,False,True,6934.3,0.563,35.5
1,131,False,1.5,3.2,True,False,False,False,False,0.09,159.0,2.2,52.2,0.23,35.3,0.654,False,True,5453.4,0.163,34.3
0,70,True,1.5,3.3,False,True,False,False,False,0.08,128.9,1.8,51.0,0.84,39.6,0.66,False,False,2567.9,1.1,29.6
1,96,False,6.2,1.3,False,False,True,False,False,0.1,159.0,1.84,44.3,1.15,39.6,0.686,False,False,4679.9,0.546,47.5
0,65,True,7.1,1.3,False,False,True,False,False,0.08,157.0,2.05,47.7,0.15,33.5,0.625,True,False,3221.3,0.294,33.4
0,127,False,4.4,1.9,False,False,True,False,False,0.07,218.0,1.85,51.0,0.48,34.7,0.633,True,False,4211.5,0.323,32.8
0,33,True,4.7,7.8,False,False,False,False,True,0.02,124.3,2.08,50.0,0.33,34.8,0.713,False,True,2470.0,0.169,26.4
1,113,False,1.1,3.5,False,False,False,True,False,0.1,130.0,2.6,51.2,0.6,37.4,0.762,False,False,5740.7,0.43,36.4
